ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x,FixDurSum,FixCount,SaccAmpMean,SaccMaxVelPeak,SaccCount,RegCountSum,ROIFixDurSum
m12q2,MCI,12,2,0.0891632373113854,0.2220698064319463,0.5076923076923077,0.4824982841455044,2.662898231689532,2.1069307726361903,5623.000000000001,12,0.8279798656331432,139.28203816564593,21,5,10.267
m12q3,MCI,12,3,0.0777469387755102,0.1907265306122449,0.501889962200756,0.4322889916110255,1.8108759773835603,1.6770937626825024,9535.0,26,4.125752057058187,151.38036574886692,50,45,23.103999999999996
m12q4,MCI,12,4,0.0503171856978085,0.2325547866205305,0.4412607449856733,0.5333746641868155,1.8919662490449,2.069274569245457,14302.999999999998,26,3.8844454669732587,136.93827522086002,50,44,25.179999999999993
m12q5,MCI,12,5,0.1102430555555555,0.3125,0.4960629921259842,0.6583333333333333,1.5227119556807576,2.009625319012521,3057.0,8,1.8657704031060112,123.45469636307224,13,10,5.989
m13q1,MCI,13,1,0.1126550098003066,0.2756311979661938,0.7274763135228252,0.8049707808209533,2.660866000189262,3.0536274943454025,22863.0,20,1.915003896985146,91.1197920045008,25,39,29.342999999999986
m13q2,MCI,13,2,0.075565170362358,0.2302433747971876,0.4509018036072144,0.531147232923048,1.7557822387580686,1.9767026269259909,12953.0,35,3.233582130285417,145.21874967437014,56,44,27.014999999999993
m13q3,MCI,13,3,0.0976685570258349,0.2442764125183785,0.5913978494623656,0.6113499570077386,1.7363113150691143,1.9376800693814176,3668.0,12,3.721523198645979,155.25246072542845,19,9,8.434999999999999
m13q4,MCI,13,4,0.1357458270472096,0.3020852708372083,0.71651865008881,0.7564023625458941,2.9393525133619085,3.114812142128616,30803.0,38,3.739133002967711,124.34136370639511,69,52,49.136999999999986
m13q5,MCI,13,5,0.1373365041617122,0.3846611177170035,0.6233766233766234,0.7990726429675425,1.4440912739678018,2.417773822897836,3670.0,11,1.6862577722515082,105.39690940726932,15,12,7.58
m14q1,MCI,14,1,0.1344381688466111,0.2281138525564803,0.8604201216141515,0.8832057338328718,3.105828913187595,3.7483372828048473,26777.0,10,2.901484560376824,58.55901358950514,9,13,29.225999999999992
m14q2,MCI,14,2,0.1380202132987414,0.2579535471794156,0.9033965855689728,0.8845284700340559,4.072565021635297,4.023809640802214,38018.0,18,0.6706581759502717,69.32654364664997,21,12,41.92599999999998
m14q3,MCI,14,3,0.1273160159946277,0.2252373248679832,0.8043634619995205,0.723539775037268,3.158228418987534,3.0045710423086,15400.0,17,1.1492758730920725,101.58993107227748,37,19,22.858999999999995
m14q4,MCI,14,4,0.114330921792435,0.2665465871886475,0.622073287492384,0.6487586335635617,2.546563778273121,2.6935576936824512,23221.999999999993,37,2.083138972262737,125.0170943947924,84,43,42.471999999999994
m14q5,MCI,14,5,0.1129427489418578,0.2497215415460013,0.4516765285996055,0.5414808206958073,1.7014436512121514,1.590551259629465,4281.0,13,2.4242624304704803,118.65234935028629,16,18,8.434999999999999
m15q1,MCI,15,1,0.1661713153482701,0.3944711172077427,0.8666590231598257,0.9046124124607584,3.404016307207803,3.643147715099652,35098.0,20,0.45430164832792436,79.61322204465004,21,16,39.26299999999997
m15q2,MCI,15,2,0.074493408203125,0.224395751953125,0.6718557968045883,0.7247382020943832,2.4321343008707705,2.548485938336416,19806.000000000004,35,2.3301751013056675,138.33965208702554,51,22,31.660999999999994
m15q3,MCI,15,3,0.0990926783805268,0.1989254680518626,0.6531120331950208,0.6334573515226678,2.3593833668110418,2.3408303112037805,15281.0,22,2.377359458600428,107.02600589589152,37,27,24.08
m15q4,MCI,15,4,0.2590260469048348,0.3977332592051207,0.8079535680120903,0.8327321463161808,3.081376663344005,3.3417582565440096,62955.0,56,2.7561727306028176,125.7300016327651,99,61,86.90699999999983
m15q5,MCI,15,5,0.0981422405704635,0.2508913492212422,0.6022944550669216,0.612565445026178,2.470621952242419,2.454293875962282,6848.0,9,2.2017777461772337,86.6018720717881,8,9,9.411999999999999
m16q1,MCI,16,1,0.1803259871441689,0.404040404040404,0.821769573520051,0.8923295454545455,3.171910554809892,3.894962826401178,13331.0,9,1.545237283998136,98.33330429141246,12,13,16.142
